Begriff;Entsorgungsart
Thermopapier ;Restmülltonne
Tinte ;Restmülltonne
Tischtennisschläger ;Restmülltonne
Tonbänder ;Restmülltonne
Trinkglas ;Restmülltonne
Türgarderobe ;Restmülltonne
Vase ;Restmülltonne
Vitaminpräperate ;Restmülltonne
Wachspapier ;Restmülltonne
Wäscheklammer ;Restmülltonne
Wasserfilterkartusche ;Restmülltonne
Wasserspritzpistole ;Restmülltonne
Wattestäbchen ;Restmülltonne
Werkzeugkoffer ;Restmülltonne
Wolldecken ;Restmülltonne
Zahnseide ;Restmülltonne
Ziegel (kleinmengen) ;Restmülltonne
Babywanne ;Sperrmüll
Bettfedern ;Sperrmüll
Bilderrahmen (groß) ;Sperrmüll
Buggy ;Sperrmüll
Couch ;Sperrmüll
Drahtzaun ;Sperrmüll
Fahrrad ;Sperrmüll
Fußbodenbeläge (rollbar) ;Sperrmüll
Gartengrill ;Sperrmüll
Gartenstuhl ;Sperrmüll
Gartenzaun (unbehandelt) ;Sperrmüll
Grill ;Sperrmüll
Holzliegestuhl ;Sperrmüll
Hundekorb ;Sperrmüll
Katzentoilette ;Sperrmüll
Kinderroller ;Sperrmüll
Kindersitz ;Sperrmüll
Kinderwippe ;Sperrmüll
Kleiderständer ;Sperrmüll
Koffer ;Sperrmüll
Kratzbaum ;Sperrmüll
Küchenschränke ;Sperrmüll
Kugelgrill ;Sperrmüll
Kunststoffrasen ;Sperrmüll
Läufer ;Sperrmüll
Maschendrahtzaun ;Sperrmüll
Möbel ;Sperrmüll
Pavillon ;Sperrmüll
Polstermöbel ;Sperrmüll
Räucherofen ;Sperrmüll
Regentonne ;Sperrmüll
Rutsche (klein) ;Sperrmüll
Sandmuschel ;Sperrmüll
Schaukelstuhl ;Sperrmüll
Schlitten ;Sperrmüll
Schreibtisch ;Sperrmüll
Schubkarre ;Sperrmüll
Schuhregal (groß) ;Sperrmüll
Sessel ;Sperrmüll
Ski ;Sperrmüll
Sofa ;Sperrmüll
Spiegel (groß) ;Sperrmüll
Spielhaus ;Sperrmüll
Stacheldraht ;Sperrmüll
Strandmuschel ;Sperrmüll
Surfbrett ;Sperrmüll
Teleskop ;Sperrmüll
Terrarium ;Sperrmüll
Tisch ;Sperrmüll
Trampolin ;Sperrmüll
Vogelkäfig ;Sperrmüll
Wandregal ;Sperrmüll
Wäschespinne ;Sperrmüll
Wickeltisch ;Sperrmüll
