Begriff;Entsorgungsart
Kartontube - Wassereis ;gelbe Tonne
Käseeinwickelfolie ;gelbe Tonne
Käseverpackung (Aluminium) ;gelbe Tonne
Käseverpackung (Plastik) ;gelbe Tonne
Kassenzettel (Papier) ;gelbe Tonne
Katzenfutterverpackung (Aluminium) ;gelbe Tonne
Katzenfutterverpackung (Kunststoff) ;gelbe Tonne
Katzenmilchflasche ;gelbe Tonne
Katzenstreuverpackung (Folie) ;gelbe Tonne
Kaugummidose ;gelbe Tonne
Kaugummiverpackung ;gelbe Tonne
Keksdose ;gelbe Tonne
Keksverpackungen (Plastik) ;gelbe Tonne
Ketchupflasche (Plastik) ;gelbe Tonne
Klebeband ;gelbe Tonne
Klebstofftube ;gelbe Tonne
Kleiderbügel (als Verkaufsverpackung ;gelbe Tonne
Knäckebrotverpackung (Beschichtetes Papier) ;gelbe Tonne
Kochbeutel (Reis, Knödel) ;gelbe Tonne
Kokosmilchverpackung (Dose) ;gelbe Tonne
Kokosmilchverpackung (Tetrapack) ;gelbe Tonne
Kokosnussflockenverpackung ;gelbe Tonne
Kondensmilchverpackung (Dose) ;gelbe Tonne
Kondensmilchverpackung (Plastik) ;gelbe Tonne
Konservendosen ;gelbe Tonne
"Korken Sammelstelle; Innenhof Stadthaus/ ";gelbe Tonne
Kragenversteifungen ;gelbe Tonne
Kräuterbutterbaguetteverpackung ;gelbe Tonne
Kräuterbutterverpackung (Alufolie) ;gelbe Tonne
Kräutertopfchen Verpackung ;gelbe Tonne
Kronkorken (Metall) ;gelbe Tonne
Kuchenschale (Aluminium) ;gelbe Tonne
Kuchentransportbox (Einweg) ;gelbe Tonne
Kuchenverpackung (Folie) ;gelbe Tonne
Kunststoffflaschen (Einweg) ;gelbe Tonne
Kunststoffverpackungen ;gelbe Tonne
Labello ;gelbe Tonne
Lackdosen (restentleert) ;gelbe Tonne
Lebensmittelflaschen ;gelbe Tonne
Lippenpflegestift ;gelbe Tonne
Lufterfrischer (Dose) ;gelbe Tonne
Make-Up Tube ;gelbe Tonne
Malzfbierflasche (Einweg-Plasitk) ;gelbe Tonne
Margarinebecher ;gelbe Tonne
Mascara ;gelbe Tonne
Mascarabürste ;gelbe Tonne
Mascarponeverpackung ;gelbe Tonne
Medikamentenbox ;gelbe Tonne
Menüschalen von Fertiggerichten ;gelbe Tonne
Metallverschlüsse ;gelbe Tonne
Milchdose ;gelbe Tonne
Milchreisbecher ;gelbe Tonne
Milchschnittenverpackung (Folie) ;gelbe Tonne
Milchtüten ;gelbe Tonne
Mineralölflasche (leer) ;gelbe Tonne
Mini Salami Hülle ;gelbe Tonne
Molkeflasche ;gelbe Tonne
Molkeverpackung ;gelbe Tonne
Mozzarellaverpackung ;gelbe Tonne
Mundspühlung (Plastikflasche) ;gelbe Tonne
Mundspühlung (Porzelanflasche) ;gelbe Tonne
Müsliriegelverpackung (Folie) ;gelbe Tonne
Müsliverpackung (Plastik) ;gelbe Tonne
Nachfüllpackungen ;gelbe Tonne
Nudelsosenverpackung (TetraPak) ;gelbe Tonne
Nudeltüten ;gelbe Tonne
Nudelverpackung (Folie) ;gelbe Tonne
Obstnetz ;gelbe Tonne
Obsttüten (Plastik) ;gelbe Tonne
Ölflasche (Plastik) ;gelbe Tonne
Pampersverpackung (Plastik) ;gelbe Tonne
Parmesankäseverpackung ;gelbe Tonne
Pflanzencremeflasche ;gelbe Tonne
Pflanzendüngerflasche ;gelbe Tonne
Pflanzentöpfe ;gelbe Tonne
Pilzkorb ;gelbe Tonne
Pizzafolie ;gelbe Tonne
Plastikverpackung ;gelbe Tonne
Pommestüten ;gelbe Tonne
Popcornbecher ;gelbe Tonne
Portionsbeutel ;gelbe Tonne
Portionsverpackungen ;gelbe Tonne
Pralinenverpackung (Plastik) ;gelbe Tonne
Produktprobe ;gelbe Tonne
Proseccodose ;gelbe Tonne
